Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,200.6556,-170.5763,90.0,top
C2,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,187.46,-199.0,-90.0,top
C3,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,203.243788,-214.53,-90.0,top
C4,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,189.03,-209.47,-90.0,top
C5,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,177.38,-206.95,-90.0,top
C6,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,166.02,-196.79,-90.0,top
C7,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,156.79,-185.75,180.0,top
C8,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,150.0,-173.33,180.0,top
C9,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,145.72,-158.7,180.0,top
C10,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,143.26,-144.73,180.0,top
C11,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,145.47,-129.48,180.0,top
C12,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,235.1,-190.68,0.0,top
C14,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,228.45,-200.56,90.0,top
C15,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,235.35,-196.55,0.0,top
C16,220uF,C_Elec_6.3x5.4,219.09,-199.64,90.0,top
C17,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,149.3,-115.63,180.0,top
C18,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,156.46,-101.87,180.0,top
C19,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,166.7,-91.09,180.0,top
C20,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,174.04,-79.67,180.0,top
C21,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,194.95,-76.27,180.0,top
C22,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,203.01,-66.08,90.0,top
C23,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,218.02,-66.8375,90.0,top
C24,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,232.36,-68.66,90.0,top
C25,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,246.96,-74.53,90.0,top
C26,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,260.15,-84.05,90.0,top
C27,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,271.21,-94.03,90.0,top
